firstName,lastName,homeAddress,workAddress,arrivalTime,,,,,,,
Henry,Drish,"426 Bukit Batok West Ave 2, Singapore 650426","Interntional Plaza, 10 Anson Rd, Singapore 079903",7.30am,,,,,,,
Rosa,Vestal,"426 Bukit Batok West Ave 2, Singapore 650426","Keppel Towers, 10 Hoe Chiang Rd, Singapore 089315",8am,,,,,,,
Carmen,Rangel,"426 Bukit Batok West Ave 2, Singapore 650426","8 Shenton Way, AXA Tower",8.30am,,,,,,,
Sandra,Wooten,"426 Bukit Batok West Ave 2, Singapore 650426","Raffles City, 252 North Bridge Road, 179103",9am,,,,,,,
Sharon,Lossett,"426 Bukit Batok West Ave 2, Singapore 650426","Interntional Plaza, 10 Anson Rd, Singapore 079903",9.30am,,,,,,,
Christian,Hooper,"426 Bukit Batok West Ave 2, Singapore 650426","Keppel Towers, 10 Hoe Chiang Rd, Singapore 089315",7.30am,,,,,,,
Jennifer,Purington,"426 Bukit Batok West Ave 2, Singapore 650426","8 Shenton Way, AXA Tower",8am,,,,,,,
Barbara,Moore,"426 Bukit Batok West Ave 2, Singapore 650426","Raffles City, 252 North Bridge Road, 179103",8.30am,,,,,,,
Tracy,Horton,"426 Bukit Batok West Ave 2, Singapore 650426","Interntional Plaza, 10 Anson Rd, Singapore 079903",9am,,,,,,,
Jamal,Rogers,"426 Bukit Batok West Ave 2, Singapore 650426","Keppel Towers, 10 Hoe Chiang Rd, Singapore 089315",9.30am,,,,,,,
Romana,Michael,"426 Bukit Batok West Ave 2, Singapore 650426","8 Shenton Way, AXA Tower",7.30am,,,,,,,
Aaron,Mora,"426 Bukit Batok West Ave 2, Singapore 650426","Raffles City, 252 North Bridge Road, 179103",8am,,,,,,,
Ralph,Springer,"426 Bukit Batok West Ave 2, Singapore 650426","Interntional Plaza, 10 Anson Rd, Singapore 079903",8.30am,,,,,,,
James,Brown,"426 Bukit Batok West Ave 2, Singapore 650426","Keppel Towers, 10 Hoe Chiang Rd, Singapore 089315",9am,,,,,,,
Jason,Boyd,"526 Bukit Batok Street 51, Singapore 650526","8 Shenton Way, AXA Tower",9.30am,,,,,,,
Lee,Blue,"527 Bukit Batok Street 51, Block 527, Singapore 650527","Raffles City, 252 North Bridge Road, 179103",7.30am,,,,,,,
Jeffrey,Harper,"533 Bukit Batok Street 51, Singapore 650533","Interntional Plaza, 10 Anson Rd, Singapore 079903",8am,,,,,,,
Anne,Stratton,"533 Bukit Batok Street 51, Singapore 650533","Keppel Towers, 10 Hoe Chiang Rd, Singapore 089315",8.30am,,,,,,,
Estelle,Grenier,"535 Bukit Batok Street 52, Block 535, Singapore 650535","8 Shenton Way, AXA Tower",9am,,,,,,,
Rosemary,Jodon,"535 Bukit Batok Street 52, Singapore 650535","Raffles City, 252 North Bridge Road, 179103",9.30am,,,,,,,
Leatha,Ridenour,"535 Bukit Batok Street 52, Singapore 650535","Interntional Plaza, 10 Anson Rd, Singapore 079903",7.30am,,,,,,,
Claudette,Clacher,"536 Bukit Batok Street 52, Singapore 650536","Keppel Towers, 10 Hoe Chiang Rd, Singapore 089315",8am,,,,,,,
Abram,Henderson,"537 Bukit Batok Street 52, Singapore 650537","8 Shenton Way, AXA Tower",8.30am,,,,,,,
Bonita,Woolf,"542 Bukit Batok Street 52, Singapore 650542","Raffles City, 252 North Bridge Road, 179103",9am,,,,,,,
Jeffrey,Frank,"542 Bukit Batok Street 52, Singapore 650542","Interntional Plaza, 10 Anson Rd, Singapore 079903",9.30am,,,,,,,
Kevin,Seibold,"542 Bukit Batok Street 52, Singapore 650542","Keppel Towers, 10 Hoe Chiang Rd, Singapore 089315",7.30am,,,,,,,
Melissia,Chipps,"621 Bukit Batok Central, Singapore 650621","8 Shenton Way, AXA Tower",8am,,,,,,,
Daniel,Guerrero,"623 Bukit Batok Central, Singapore 650623","Raffles City, 252 North Bridge Road, 179103",8.30am,,,,,,,
Maria,Suttle,"625 Bukit Batok Central, Block 625, Singapore 650625","Interntional Plaza, 10 Anson Rd, Singapore 079903",9am,,,,,,,
Frank,Fuentes,"626 Bukit Batok Central, Singapore 650626","Keppel Towers, 10 Hoe Chiang Rd, Singapore 089315",9.30am,,,,,,,
Jean,Patty,"627 Bukit Batok Central, Singapore 650627","8 Shenton Way, AXA Tower",7.30am,,,,,,,
Darrell,Hinderman,"627 Bukit Batok Central, Singapore 650627","Raffles City, 252 North Bridge Road, 179103",8am,,,,,,,
Phyllis,Triana,"627 Bukit Batok Central, Singapore 650627","Interntional Plaza, 10 Anson Rd, Singapore 079903",8.30am,,,,,,,
Joseph,Burnett,"628 Bukit Batok Central, Singapore 650628","Keppel Towers, 10 Hoe Chiang Rd, Singapore 089315",9am,,,,,,,
Robbie,Hagen,"628 Bukit Batok Central, Singapore 650628","8 Shenton Way, AXA Tower",9.30am,,,,,,,
Mary,Hamilton,"628 Bukit Batok Central, Singapore 650628","Raffles City, 252 North Bridge Road, 179103",7.30am,,,,,,,
Marjorie,Flores,"628 Bukit Batok Central, Singapore 650628","Interntional Plaza, 10 Anson Rd, Singapore 079903",8am,,,,,,,
Laura,Hargett,"634 Bukit Batok Central, Block 634, Singapore 650634","Keppel Towers, 10 Hoe Chiang Rd, Singapore 089315",8.30am,,,,,,,
Zachary,Murphy,"634 Bukit Batok Central, Block 634, Singapore 650634","8 Shenton Way, AXA Tower",9am,,,,,,,
Mee,Kicker,"634 Bukit Batok Central, Block 634, Singapore 650634","Raffles City, 252 North Bridge Road, 179103",9.30am,,,,,,,
Jorge,Conley,"634 Bukit Batok Central, Singapore 650634","Interntional Plaza, 10 Anson Rd, Singapore 079903",7.30am,,,,,,,
Andrew,Shoemake,"628A Bukit Batok Central, Singapore 651628","Keppel Towers, 10 Hoe Chiang Rd, Singapore 089315",8am,,,,,,,
Carrie,Lee,"628A Bukit Batok Central, Singapore 651628","8 Shenton Way, AXA Tower",8.30am,,,,,,,
Gregory,Fleeger,"628A Bukit Batok Central, Singapore 651628","Raffles City, 252 North Bridge Road, 179103",9am,,,,,,,
Nikki,Bulmer,"36 Bukit Batok Rd, Singapore 658029","Interntional Plaza, 10 Anson Rd, Singapore 079903",9.30am,,,,,,,
Felisha,Ensing,"36 Bukit Batok Rd, Singapore 658029","Keppel Towers, 10 Hoe Chiang Rd, Singapore 089315",7.30am,,,,,,,
Grant,Morin,"36 Bukit Batok Rd, Singapore 658029","8 Shenton Way, AXA Tower",8am,,,,,,,
Lois,Fox,"36 Bukit Batok Rd, Singapore 658029","Raffles City, 252 North Bridge Road, 179103",8.30am,,,,,,,
Tobias,Dibble,"36 Bukit Batok Rd, Singapore 658029","Interntional Plaza, 10 Anson Rd, Singapore 079903",9am,,,,,,,
Jessica,Jones,"36 Bukit Batok Rd, Singapore 658029","Keppel Towers, 10 Hoe Chiang Rd, Singapore 089315",9.30am,,,,,,,
Celeste,Koenen,"36 Bukit Batok Rd, Singapore 658029","8 Shenton Way, AXA Tower",7.30am,,,,,,,
Bernice,Ragsdale,"36 Bukit Batok Rd, Singapore 658029","Raffles City, 252 North Bridge Road, 179103",8am,,,,,,,
Karen,Terry,"36 Bukit Batok Rd, Singapore 658029","Interntional Plaza, 10 Anson Rd, Singapore 079903",8.30am,,,,,,,
Tom,Highsmith,"36 Bukit Batok Rd, Singapore 658029","Keppel Towers, 10 Hoe Chiang Rd, Singapore 089315",9am,,,,,,,
William,Holguin,"36 Bukit Batok Rd, Singapore 658029","8 Shenton Way, AXA Tower",9.30am,,,,,,,
Warner,Rhodes,"36 Bukit Batok Rd, Singapore 658029","Raffles City, 252 North Bridge Road, 179103",7.30am,,,,,,,
Marlene,Marusak,"36 Bukit Batok Rd, Singapore 658029","Interntional Plaza, 10 Anson Rd, Singapore 079903",8am,,,,,,,
John,Rodriguez,"36 Bukit Batok Rd, Singapore 658029","Keppel Towers, 10 Hoe Chiang Rd, Singapore 089315",8.30am,,,,,,,
Robert,Stewart,"36 Bukit Batok Rd, Singapore 658029","8 Shenton Way, AXA Tower",9am,,,,,,,
Keith,Wall,"36 Bukit Batok Rd, Singapore 658029","Raffles City, 252 North Bridge Road, 179103",9.30am,,,,,,,
Barbara,Halley,"36 Bukit Batok Rd, Singapore 658029","Interntional Plaza, 10 Anson Rd, Singapore 079903",7.30am,,,,,,,
Cori,Jackson,"36 Bukit Batok Rd, Singapore 658029","Keppel Towers, 10 Hoe Chiang Rd, Singapore 089315",8am,,,,,,,
Kenneth,Reichenbach,"36 Bukit Batok Rd, Singapore 658029","8 Shenton Way, AXA Tower",8.30am,,,,,,,
Sandy,Norton,"36 Bukit Batok Rd, Singapore 658029","Raffles City, 252 North Bridge Road, 179103",9am,,,,,,,
Polly,Sampson,"9 Bukit Batok Central Link, Singapore 658074","Interntional Plaza, 10 Anson Rd, Singapore 079903",9.30am,,,,,,,
Renee,Joyner,"1 Bukit Batok Central Link, Singapore 658713","Keppel Towers, 10 Hoe Chiang Rd, Singapore 089315",7.30am,,,,,,,
Nancy,Boisen,"1 Bukit Batok Central Link, Singapore 658713","8 Shenton Way, AXA Tower",8am,,,,,,,
Ruby,Davidson,"60 Bukit Batok West Ave 8, Singapore 658965","Raffles City, 252 North Bridge Road, 179103",8.30am,,,,,,,
Larry,Simmons,"60 Bukit Batok West Ave 8, Singapore 658965","Interntional Plaza, 10 Anson Rd, Singapore 079903",9am,,,,,,,
Jason,Barnes,"60 Bukit Batok West Ave 8, Singapore 658965","Keppel Towers, 10 Hoe Chiang Rd, Singapore 089315",9.30am,,,,,,,
Emily,Kovacs,"60 Bukit Batok West Ave 8, Singapore 658965","8 Shenton Way, AXA Tower",7.30am,,,,,,,
Alfred,Kennedy,"60 Bukit Batok West Ave 8, Singapore 658965","Raffles City, 252 North Bridge Road, 179103",8am,,,,,,,
Brett,Gellings,"60 Bukit Batok West Ave 8, Singapore 658965","Interntional Plaza, 10 Anson Rd, Singapore 079903",8.30am,,,,,,,
Terri,Letendre,"60 Bukit Batok West Ave 8, Singapore 658965","Keppel Towers, 10 Hoe Chiang Rd, Singapore 089315",9am,,,,,,,
Travis,Hofmann,"60 Bukit Batok West Ave 8, Singapore 658965","8 Shenton Way, AXA Tower",9.30am,,,,,,,
Albert,Cross,"60 Bukit Batok West Ave 8, Singapore 658965","Raffles City, 252 North Bridge Road, 179103",7.30am,,,,,,,
Jessica,Moon,"30 Bukit Batok West Ave 3, Singapore 659163","Interntional Plaza, 10 Anson Rd, Singapore 079903",8am,,,,,,,
Hae,Board,"30 Bukit Batok West Ave 3, Singapore 659163","Keppel Towers, 10 Hoe Chiang Rd, Singapore 089315",8.30am,,,,,,,
Glenn,Nader,"50 Bukit Batok West Ave 3, Singapore 659164","8 Shenton Way, AXA Tower",9am,,,,,,,
Paula,Mory,"105 Bukit Batok West Ave 3, Singapore 659165","Raffles City, 252 North Bridge Road, 179103",9.30am,,,,,,,
Eric,Moore,"107 Bukit Batok West Ave 3, Singapore 659167","Interntional Plaza, 10 Anson Rd, Singapore 079903",7.30am,,,,,,,
Margaret,Hamel,"107 Bukit Batok West Ave 3, Singapore 659167","Keppel Towers, 10 Hoe Chiang Rd, Singapore 089315",8am,,,,,,,
Natalie,Vargas,"107 Bukit Batok West Ave 3, Singapore 659167","8 Shenton Way, AXA Tower",8.30am,,,,,,,
John,Stafford,"107 Bukit Batok West Ave 3, Singapore 659167","Raffles City, 252 North Bridge Road, 179103",9am,,,,,,,
Michael,Lopez,"107 Bukit Batok West Ave 3, Singapore 659167","Interntional Plaza, 10 Anson Rd, Singapore 079903",9.30am,,,,,,,
Thomas,Oquendo,"107 Bukit Batok West Ave 3, Singapore 659167","Keppel Towers, 10 Hoe Chiang Rd, Singapore 089315",7.30am,,,,,,,
Jimmy,Leblanc,"107 Bukit Batok West Ave 3, Singapore 659167","8 Shenton Way, AXA Tower",8am,,,,,,,
Joe,Conley,"107 Bukit Batok West Ave 3, Singapore 659167","Raffles City, 252 North Bridge Road, 179103",8.30am,,,,,,,
Loida,Wheeler,"101 Bukit Batok West Ave 3, Singapore 659168","Interntional Plaza, 10 Anson Rd, Singapore 079903",9am,,,,,,,
Mark,Thatcher,"101 Bukit Batok West Ave 3, Singapore 659168","Keppel Towers, 10 Hoe Chiang Rd, Singapore 089315",9.30am,,,,,,,
Melissa,Santos,"101 Bukit Batok West Ave 3, Singapore 659168","8 Shenton Way, AXA Tower",7.30am,,,,,,,
Frank,Ogara,"101 Bukit Batok West Ave 3, Singapore 659168","Raffles City, 252 North Bridge Road, 179103",8am,,,,,,,
Donald,Auxier,"101 Bukit Batok West Ave 3, Singapore 659168","Interntional Plaza, 10 Anson Rd, Singapore 079903",8.30am,,,,,,,
Thelma,Perine,"101 Bukit Batok West Ave 3, Singapore 659168","Keppel Towers, 10 Hoe Chiang Rd, Singapore 089315",9am,,,,,,,
Parthenia,Hoffman,"101 Bukit Batok West Ave 3, Singapore 659168","8 Shenton Way, AXA Tower",9.30am,,,,,,,
Louis,Barr,"101 Bukit Batok West Ave 3, Singapore 659168","Raffles City, 252 North Bridge Road, 179103",7.30am,,,,,,,
Karen,Lopez,"101 Bukit Batok West Ave 3, Singapore 659168","Interntional Plaza, 10 Anson Rd, Singapore 079903",8am,,,,,,,
Steve,King,"101 Bukit Batok West Ave 3, Singapore 659168","Keppel Towers, 10 Hoe Chiang Rd, Singapore 089315",8.30am,,,,,,,
Richard,Pepper,"101 Bukit Batok West Ave 3, Singapore 659168","8 Shenton Way, AXA Tower",9am,,,,,,,
Taylor,Jones,"101 Bukit Batok West Ave 3, Singapore 659168","Raffles City, 252 North Bridge Road, 179103",9.30am,,,,,,,
Peggy,Gallegos,"101 Bukit Batok West Ave 3, Singapore 659168","Interntional Plaza, 10 Anson Rd, Singapore 079903",7.30am,,,,,,,
Brett,Hernandez,"101 Bukit Batok West Ave 3, Singapore 659168","Keppel Towers, 10 Hoe Chiang Rd, Singapore 089315",8am,,,,,,,
David,Lyons,"101 Bukit Batok West Ave 3, Singapore 659168","8 Shenton Way, AXA Tower",8.30am,,,,,,,
Brandon,Zielonka,"101 Bukit Batok West Ave 3, Singapore 659168","Raffles City, 252 North Bridge Road, 179103",9am,,,,,,,
Jessica,Adkins,"101 Bukit Batok West Ave 3, Singapore 659168","Interntional Plaza, 10 Anson Rd, Singapore 079903",9.30am,,,,,,,
Jonathon,Henry,"101 Bukit Batok West Ave 3, Singapore 659168","Keppel Towers, 10 Hoe Chiang Rd, Singapore 089315",7.30am,,,,,,,
Cori,Nickerson,"101 Bukit Batok West Ave 3, Singapore 659168","8 Shenton Way, AXA Tower",8am,,,,,,,
Don,Flom,"101 Bukit Batok West Ave 3, Singapore 659168","Raffles City, 252 North Bridge Road, 179103",8.30am,,,,,,,
James,Slough,"101 Bukit Batok West Ave 3, Singapore 659168","Interntional Plaza, 10 Anson Rd, Singapore 079903",9am,,,,,,,
Patricia,Davenport,"101 Bukit Batok West Ave 3, Singapore 659168","Keppel Towers, 10 Hoe Chiang Rd, Singapore 089315",9.30am,,,,,,,
Verlene,Fitzgerald,"101 Bukit Batok West Ave 3, Singapore 659168","8 Shenton Way, AXA Tower",7.30am,,,,,,,
Ann,Smith,"101 Bukit Batok West Ave 3, Singapore 659168","Raffles City, 252 North Bridge Road, 179103",8am,,,,,,,
Sidney,Vento,"101 Bukit Batok West Ave 3, Singapore 659168","Interntional Plaza, 10 Anson Rd, Singapore 079903",8.30am,,,,,,,
Leroy,Gregg,"101 Bukit Batok West Ave 3, Singapore 659168","Keppel Towers, 10 Hoe Chiang Rd, Singapore 089315",9am,,,,,,,
Victoria,Sauders,"101 Bukit Batok West Ave 3, Singapore 659168","8 Shenton Way, AXA Tower",9.30am,,,,,,,
Daniel,Lewis,"101 Bukit Batok West Ave 3, Singapore 659168","Raffles City, 252 North Bridge Road, 179103",7.30am,,,,,,,
Hector,Kelleher,"101 Bukit Batok West Ave 3, Singapore 659168","Interntional Plaza, 10 Anson Rd, Singapore 079903",8am,,,,,,,
Stephen,Drake,"91 Bukit Batok West Ave 2, Singapore 659206","Keppel Towers, 10 Hoe Chiang Rd, Singapore 089315",8.30am,,,,,,,
Corey,Marino,"91 Bukit Batok West Ave 2, Singapore 659206","8 Shenton Way, AXA Tower",9am,,,,,,,
Geneva,Pulley,"91 Bukit Batok West Ave 2, Singapore 659206","Raffles City, 252 North Bridge Road, 179103",9.30am,,,,,,,
Michael,Hellwig,"91 Bukit Batok West Ave 2, Singapore 659206","Interntional Plaza, 10 Anson Rd, Singapore 079903",7.30am,,,,,,,
Abbie,Goforth,"91 Bukit Batok West Ave 2, Singapore 659206","Keppel Towers, 10 Hoe Chiang Rd, Singapore 089315",8am,,,,,,,
Johnetta,Howell,"91 Bukit Batok West Ave 2, Singapore 659206","8 Shenton Way, AXA Tower",8.30am,,,,,,,
Linda,Sahe,"91 Bukit Batok West Ave 2, Singapore 659206","Raffles City, 252 North Bridge Road, 179103",9am,,,,,,,
Matthew,Steger,"91 Bukit Batok West Ave 2, Singapore 659206","Interntional Plaza, 10 Anson Rd, Singapore 079903",9.30am,,,,,,,
Jean,Anderson,"91 Bukit Batok West Ave 2, Singapore 659206","Keppel Towers, 10 Hoe Chiang Rd, Singapore 089315",7.30am,,,,,,,
Greta,Maust,"91 Bukit Batok West Ave 2, Singapore 659206","8 Shenton Way, AXA Tower",8am,,,,,,,
Tracy,Lewis,"91 Bukit Batok West Ave 2, Singapore 659206","Raffles City, 252 North Bridge Road, 179103",8.30am,,,,,,,
Latisha,Kirkland,"91 Bukit Batok West Ave 2, Singapore 659206","Interntional Plaza, 10 Anson Rd, Singapore 079903",9am,,,,,,,
Tamara,Eveland,"91 Bukit Batok West Ave 2, Singapore 659206","Keppel Towers, 10 Hoe Chiang Rd, Singapore 089315",9.30am,,,,,,,
Dorothy,Mason,"91 Bukit Batok West Ave 2, Singapore 659206","8 Shenton Way, AXA Tower",7.30am,,,,,,,
Robin,Boulet,"91 Bukit Batok West Ave 2, Singapore 659206","Raffles City, 252 North Bridge Road, 179103",8am,,,,,,,
James,Wenrich,"91 Bukit Batok West Ave 2, Singapore 659206","Interntional Plaza, 10 Anson Rd, Singapore 079903",8.30am,,,,,,,
Molly,Cordova,"91 Bukit Batok West Ave 2, Singapore 659206","Keppel Towers, 10 Hoe Chiang Rd, Singapore 089315",9am,,,,,,,
Brandy,Cruz,"91 Bukit Batok West Ave 2, Singapore 659206","8 Shenton Way, AXA Tower",9.30am,,,,,,,
Frankie,Alas,"91 Bukit Batok West Ave 2, Singapore 659206","Raffles City, 252 North Bridge Road, 179103",7.30am,,,,,,,
Adela,Kazin,"52 Bukit Batok Street 31, Singapore 659443","Interntional Plaza, 10 Anson Rd, Singapore 079903",8am,,,,,,,
Kevin,Brown,"52 Bukit Batok Street 31, Singapore 659443","Keppel Towers, 10 Hoe Chiang Rd, Singapore 089315",8.30am,,,,,,,
John,Hilton,"54 Bukit Batok Street 31, Singapore 659444","8 Shenton Way, AXA Tower",9am,,,,,,,
Carlos,Beeler,"10 Bukit Batok Central, Singapore 659958","Raffles City, 252 North Bridge Road, 179103",9.30am,,,,,,,
Gary,Tarantino,"21 Bukit Batok Central, Singapore 659959","Interntional Plaza, 10 Anson Rd, Singapore 079903",7.30am,,,,,,,
